timestep,prb_util,active_ue,dl_throughput,sinr,e911_calls,social_velocity,congestion_now,congestion_in_window
0,35.91415123926329,118.78359522806699,235.8052584649994,17.620962197283138,0.0,6.416652532743382,0,0
1,31.907682047789805,140.99883307935195,235.31273672874207,14.795891464405907,0.0,9.801479655585588,0,0
2,37.30662224057029,148.35600886605323,208.39969926210745,16.044912648335465,0.0,9.223687266376608,0,0
3,37.904596929221114,142.6197509399484,222.8670270115966,14.434057807443976,0.0,3.7995802221539794,0,0
4,29.257431101368493,113.2674617290681,237.00447538322337,18.202818012313838,0.0,11.320844905226798,0,0
5,31.231631714541358,140.47808866378048,240.80563314255596,17.04033536510537,0.0,9.075044709284661,0,0
6,35.549324613075036,153.16590621217625,218.04049525293706,14.820376839740339,0.0,12.16821030574271,0,0
7,34.24470831576582,135.05998139298077,230.18149557382895,14.614663013477706,0.0,10.466152682189888,0,0
8,35.170664750419064,123.59604704063706,228.81184383325302,14.251145729718978,1.0,9.758758047543843,0,0
9,32.68956793139366,114.73010277190005,237.80799787526004,12.439898276307613,1.0,13.932197885052366,0,0
10,37.91452441106955,162.95355004314814,209.71660743452924,16.252996938196837,2.0,7.768037493682405,0,0
11,37.637336266458036,131.38320868101624,228.16575727119871,15.665809642744057,0.0,12.41799074352619,0,0
12,35.52968164801012,140.34640926837585,205.3557545111884,16.517604151048516,2.0,11.015329021911782,0,0
13,38.74094131299539,195.1798471626801,202.47597656665818,16.55614281237676,0.0,14.83723998864414,0,0
14,36.78937281736907,154.05090384502773,217.013844373191,17.81849601740044,0.0,9.267081257564907,0,0
15,32.83659338239212,142.48011158949353,241.0444756151087,15.303697739563363,1.0,16.729164813859548,0,0
16,36.54834790577933,130.2778625451224,221.19625644810165,15.2131916597785,1.0,8.618480120438033,0,0
17,32.59307125575344,111.96276018042711,204.4804394072992,15.580380641377037,1.0,11.270539511154759,0,0
18,38.13269210925084,164.46809899257414,218.67185446887916,16.567957494614614,1.0,8.146159999624851,0,0
19,35.37518418200432,137.2654568945944,218.360617274437,15.089621441348742,1.0,12.485947661039319,0,0
20,34.9979940166767,157.5962982901619,227.6628204591832,18.38172692374593,1.0,8.376426707464596,0,0
